query,organic_rank,map_pack_rank,ranking_url,page_title,snippet,top_3_competitors,intent_type,priority,notes
north shore judo kids,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","We offer kids judo from age 4, junior classes for 7-14 year olds, and senior training for teens and adults — all in our brand new full-size dojo and judo studio...",judokwai.org; nipponjudoschools.com; alivedojo.co.nz,Kids classes,High,Kids-focused query; site ranks #1; map pack shows Judokwai and Nippon as competitors
north shore judo adults,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",judokwai.org; alivedojo.co.nz; nipponjudoschools.com,Adult classes,High,Adults-focused query; site ranks #1; map pack includes Alive Dojo as competitor
north shore judo beginners,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",judokwai.org; blackknightsbjj.co.nz; alivedojo.co.nz,Beginner classes,High,Beginner-focused query; site ranks #1; map pack shows Black Knights BJJ as competitor
north shore judo free class,1,0,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo. Join our awesome community today ...",judokwai.org; nipponjudoschools.com; alivedojo.co.nz,Free trial/offer,Medium,Query about free class; North Shore Judo home page ranks first with free trial mention; no map pack
north shore judo barrys point road,1,0,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","We're at 34 Barrys Point Road, Takapuna, Auckland 0622 — right on the North Shore with plenty of free parking. We're easy to find and conveniently located near...",judokwai.org; northshoregrappling.co.nz; judoauckland.co.nz,Location/address,Medium,Address-specific query; site ranks #1; no map pack; competitor results include North Shore Grappling
north shore judo 34 barrys point road,1,0,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","We're at 34 Barrys Point Road, Takapuna, Auckland 0622 — right on the North Shore with plenty of free parking. We're easy to find and conveniently located near...",judokwai.org; nipponjudoschools.com; judoauckland.co.nz,Location/address,Medium,Exact address query; North Shore Judo home page ranks first; no map pack
north shore judo simon greenhill,1,2,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","Now led by coach Simon Greenhill, who started judo aged 5 and became a National Club Coach in 2006, North Shore Judo club members...",nipponjudoschools.com; judokwai.org; judonz.org,Branded/person,Low,"Query about coach; organic rank #1 but map pack shows Nippon Judo ahead, giving NSJ map rank 2"
north shore judo doug,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo",Our coaching team — Simon and Doug — are supported by experienced high-belt members...,judokwai.org; nipponjudoschools.com; alivedojo.co.nz,Branded/person,Low,Coach-specific search; NSJ ranks #1; map pack shows NSJ listing at top
north shore judo reviews,1,0,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo",North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids ... Google Reviews for North Shore Judo. 5.0 / 5 20 reviews.,judokwai.org; nipponjudoschools.com; judonearme.judoshop.com,Reviews,Medium,Reviews query; NSJ ranks first with review snippet; no map pack
north shore judo timetable,1,0,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",judokwai.org; nipponjudoschools.com; judoauckland.co.nz,Practical/Informational,High,Timetable query; NSJ home page ranks first; no map pack; competitor results include JudoKwai and Nippon Judo Schools
north shore judo schedule,1,0,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",nipponjudoschools.com; judokwai.org; alivedojo.co.nz,Practical/Informational,High,Schedule query; NSJ home page ranks first; no map pack; competitor results include Nippon Judo Schools and Judokwai
north shore judo fees,1,0,https://northshorejudo.co.nz/pricing,North Shore Judo Pricing | Class Fees in Takapuna North Shore Judo,Monthly Class Fees — Pee Wees 4-6 years $36/month; Juniors & Seniors $73/month on Tuesday & Thursday; pricing includes free trial class...,judokwai.org; nipponjudoschools.com; alivedojo.co.nz,Pricing/Transactional,High,Pricing query; NSJ pricing page ranks first; no map pack; competitor pricing pages from Judokwai and Nippon Judo
north shore judo contact,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","We're at 34 Barrys Point Road, Takapuna, Auckland 0622 — right on the North Shore with plenty of free parking. We're easy to find and conveniently located near...",judokwai.org; nipponjudoschools.com; judoauckland.co.nz,Contact/Transactional,High,Contact query; local listing shows phone number for Live to Judo - North Shore Judo; organic result ranks first; map pack listing also shows them at rank 1
judo takapuna,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",alivedojo.co.nz; judokwai.org; nipponjudoschools.com,Transactional/Local,High,"Core keyword for judo in Takapuna; NSJ ranks first organically and in the map pack; competitors include Alive Dojo, Judokwai, and Nippon Judo Schools"
judo classes takapuna,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",alivedojo.co.nz; judokwai.org; nipponjudoschools.com,Transactional/Local,High,"Class-based query; NSJ home page ranks first; map pack shows North Shore Judo; competitor results include Alive Dojo, Judokwai, Nippon Judo Schools"
judo club takapuna,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",judokwai.org; nipponjudoschools.com; alivedojo.co.nz,Transactional/Local,High,"Local club search; NSJ ranks #1 in organic results and appears at top of map pack; competitor clubs include Judokwai, Nippon Judo Schools, Alive Dojo"
judo lessons takapuna,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",alivedojo.co.nz; judokwai.org; nipponjudoschools.com,Transactional/Local,High,"Lesson-related query; NSJ home page ranks first; local panel shows Live to Judo - North Shore Judo with address and phone number; competitor results include Alive Dojo, Judokwai, Nippon Judo Schools"
judo training takapuna,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",alivedojo.co.nz; judokwai.org; nipponjudoschools.com,Transactional/Local,High,"Training query; NSJ home page ranks first; map pack shows Live to Judo - North Shore Judo; competitor results include Alive Dojo, Judokwai, and Nippon Judo Schools"
learn judo takapuna,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",alivedojo.co.nz; judokwai.org; nipponjudoschools.com,Transactional/Local,High,"Query for learning judo in Takapuna; NSJ home page ranks first; map pack listing; competitor results include Alive Dojo, Judokwai, Nippon Judo Schools"
kids judo takapuna,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","We offer kids judo from age 4, junior classes for 7-14 year olds, and senior training for teens and adults — all in our brand new full-size dojo and judo studio... ",alivedojo.co.nz; judokwai.org; milehighkaratenorthshore.co.nz,Kids/Parent Intent,High,"Kids-focused query; NSJ home page ranks first and appears in map pack; competitor results include Alive Dojo, Judokwai, and Mile High Karate North Shore"
adult judo takapuna,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",judokwai.org; jkstakapuna.co.nz; alivedojo.co.nz,Adult/Beginner,High,"Search for adult judo classes; map pack lists North Shore Judo first followed by Judokwai and JKS Takapuna; NSJ also ranks first organically; competitor domains include Judokwai, JKS Takapuna (karate), Alive Dojo"
beginner judo takapuna,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",judokwai.org; alivedojo.co.nz; nipponjudoschools.com,Beginner/Local,High,"Beginner judo query; NSJ ranks first and features in the knowledge panel; competitor results include Judokwai, Alive Dojo and Nippon Judo Schools"
judo near takapuna,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",judokwai.org; alivedojo.co.nz; nipponjudoschools.com,Local/Transactional,High,"Search for judo near Takapuna; NSJ home page ranks first and is displayed in the knowledge panel; competitor sites include Judokwai, Alive Dojo, Nippon Judo Schools"
judo dojo takapuna,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",alivedojo.co.nz; judokwai.org; nipponjudoschools.com,Local/Dojo,High,"Dojo search; local map pack shows North Shore Judo first followed by Alive Dojo; NSJ also ranks first organically; competitor domains include Alive Dojo, Judokwai, Nippon Judo Schools"
martial arts takapuna,9,0,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo... ",jkstakapuna.co.nz; submissionmartialarts.co.nz; shurikennz.co.nz,General/Martial Arts,Medium,"General martial arts query; NSJ appears lower on the first page (~rank 9) and is not in the local pack; top results are karate and MMA schools such as JKS Takapuna, Submission Martial Arts, Shuriken NZ"
martial arts classes takapuna,9,0,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo... ",jkstakapuna.co.nz; shurikennz.co.nz; shotokan.net.nz,General/Martial Arts,Medium,"General martial arts classes query; NSJ appears near bottom of the first page (~rank 9) and not in the local pack; top results are karate/MMA schools such as JKS Takapuna, Shuriken NZ, Shotokan North Shore"
kids martial arts takapuna,9,0,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","We offer kids judo from age 4, junior classes for 7-14 year olds, and senior training for teens and adults — all in our brand new full-size dojo and judo studio...",jkstakapuna.co.nz; milehighkaratenorthshore.co.nz; submissionmartialarts.co.nz,Kids/Martial Arts,Medium,"Kids martial arts query; local pack shows karate & MMA schools, not NSJ; NSJ ranks lower (~9) in organic results; competitor results include JKS Takapuna Karate, Mile High Karate, Submission Martial Arts"
adult martial arts takapuna,0,0,,,,submissionmartialarts.co.nz; jkstakapuna.co.nz; milehighkaratenorthshore.co.nz,General/Martial Arts,Medium,Adult martial arts query; North Shore Judo does not appear in the top results or local pack; competitors dominate search results
self defence classes takapuna,0,0,,,,submissionmartialarts.co.nz; milehighkaratenorthshore.co.nz; jkstakapuna.co.nz,Self Defence/Local,Medium,"Self defence classes query; North Shore Judo not visible in top results or map pack; competitor results include Submission Martial Arts BJJ & MMA, Mile High Karate, JKS Takapuna and other self-defence schools"
self defense classes takapuna,0,0,,,,submissionmartialarts.co.nz; milehighkaratenorthshore.co.nz; jkstakapuna.co.nz,Self Defence/Local,Medium,"US spelling of self defence; similar results—North Shore Judo not present; local pack lists Submission Martial Arts, Mile High Karate, JKS Takapuna; organic results dominated by Krav Maga and self-defence schools"
judo north shore auckland,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ","Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo",judokwai.org|nipponjudoschools.com|alivedojo.co.nz,Local service,High,"Map pack shows Live to Judo - North Shore Judo first, followed by Judokwai and Nippon Judo Schools"
judo classes north shore auckland,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ","Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo",judokwai.org|nipponjudoschools.com|alivedojo.co.nz,Local service,High,"Map pack shows Live to Judo - North Shore Judo first, followed by Judokwai and Alive Dojo"
judo club north shore auckland,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ","Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo",judokwai.org|nipponjudoschools.com|alivedojo.co.nz,Local service,High,Map pack shows Live to Judo - North Shore Judo first followed by Judokwai and Nippon Judo Schools
kids judo north shore auckland,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ","We offer kids judo from age 4, junior classes for 7-14 year olds, and senior training for teens and adults in our full-size dojo",judokwai.org|nipponjudoschools.com|alivedojo.co.nz,Local service,High,Map pack shows Live to Judo - North Shore Judo first followed by Judokwai and Alive Dojo
adult judo north shore auckland,2,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo",judokwai.org|nipponjudoschools.com|alivedojo.co.nz,Local service,High,"Map pack lists Live to Judo - North Shore Judo first, but organic results show Judokwai ahead, giving NSJ organic rank 2"
judo auckland,0,1,https://northshorejudo.co.nz,Live to Judo - North Shore Judo (Google Business listing),North Shore Judo appears only in local map pack; not in top organic results for judo auckland,judoauckland.co.nz|judokwai.org|nipponjudoschools.com,Local service,High,Organic results dominated by general judo associations (Auckland Judo Association); NSJ appears only in local pack ranked 1
judo classes auckland,7,0,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ","Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo",judoauckland.co.nz|nipponjudoschools.com|judokwai.org,Local service,Medium,"NSJ appears mid-page (approx rank 7); local map pack features other clubs (Shorinji Kempo, Tukaha, Judokwai) so NSJ not in map pack"
judo club auckland,0,0,N/A,N/A,North Shore Judo not visible on first page for this query,judoauckland.co.nz|judokwai.org|aucklandunijudo.nz,Local service,Medium,"Search results show other Auckland judo clubs (Auckland Uni Judo Club, Three Kings Judo Club, Judokwai) and association pages; NSJ absent from top results or map pack"
judo lessons auckland,8,0,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo",judoauckland.co.nz|nipponjudoschools.com|judokwai.org,Local service,Medium,"NSJ appears near the bottom of page 1 (approx rank 8) for judo lessons auckland; local pack lists Shorinji Kempo, Judokwai, Three Kings etc; NSJ not in map pack"
judo training auckland,8,0,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ","Auckland's friendliest judo club offering classes for kids, teens and adults; free first class and competition-size dojo",judoauckland.co.nz|judokwai.org|nipponjudoschools.com,Local service,Medium,"NSJ appears near bottom of page 1 (approx rank 8); map pack features other clubs (Three Kings Judo Club, Shorinji Kempo, Judokwai) so not ranking in map pack"
learn judo auckland,6,0,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ","Auckland's friendliest judo club in Takapuna. Kids, teens & adult classes. Beginners welcome; free first class",judoauckland.co.nz|nipponjudoschools.com|judokwai.org,Local service,Medium,"NSJ appears mid-page (approx rank 6) among search results; map pack features other schools (Shorinji Kempo, Auckland University Judo Club, Tukaha)."
kids judo auckland,6,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ",Kids can start judo at North Shore Judo from age 4 in our Pee Wees class and 7-14 years for Juniors; great martial art for kids,judokwai.org|kodomodojo.nz|nipponjudoschools.com,Local service,High,NSJ appears mid page (approx rank 6) with snippet emphasising Pee Wees and Juniors; local pack shows Live to Judo first
adult judo auckland,7,0,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ",Auckland's friendliest judo club in Takapuna offering adult classes; beginners welcome and free first class,bigjudo.co.nz|judokwai.org|nipponjudoschools.com,Local service,Medium,"NSJ appears around rank 7; map pack features Shorinji Kempo, Big Judo City, Judokwai; NSJ not in map pack"
beginner judo auckland,8,0,https://northshorejudo.co.nz/Guides,Adult Beginner Judo in Auckland | Getting Started Guide - North Shore Judo,"A clear beginner guide for adults starting judo in Auckland. Learn what to expect in class, what to wear, and how to use your free trial",bigjudo.co.nz|judokwai.org|nipponjudoschools.com,Informational,Medium,"Blog guide ranks around 8; local pack features other clubs (Shorinji Kempo, Big Judo City, Judokwai); NSJ not in map pack"
judo for beginners auckland,7,0,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ","North Shore Judo: Auckland's friendliest judo club in Takapuna with classes for kids and adults, beginners welcome and free first class",judokwai.org|nipponjudoschools.com|howickjudo.com,Local service,Medium,NSJ appears mid-page (approx rank 7) among results; map pack features other clubs; NSJ not in map pack
judo dojo auckland,7,0,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ","Auckland's friendliest judo club in Takapuna offering a full-size dojo for training; classes for kids, teens, adults",bigjudo.co.nz|judokwai.org|howickjudo.com,Local service,Medium,"NSJ appears around rank 7; map pack features Three Kings Judo Club, Auckland University Judo Club, Howick Academy of Judo; NSJ not in map pack"
judo school auckland,5,0,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ","Auckland's friendliest judo club in Takapuna. Kids, teens & adult classes. Beginners welcome; full-size dojo",nipponjudoschools.com|judoauckland.co.nz|judokwai.org,Local service,Medium,"NSJ appears mid-page (approx rank 5); local pack features Auckland University Judo Club, Shorinji Kempo, Judokwai; NSJ not in map pack"
judo academy auckland,7,0,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ","North Shore Judo: Auckland's friendliest judo club in Takapuna with kids, teens & adult classes and free first class",howickjudo.com|judokwai.org|aucklandunijudo.nz,Local service,Medium,"NSJ appears mid-page (approx rank 7) for judo academy auckland; map pack features Howick Academy of Judo, Judokwai, and Auckland University Judo Club; NSJ not in map pack"
best judo club auckland,8,3,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ","Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo",judokwai.org|tukaha.co.nz|aucklandunijudo.nz,Local service,Medium,"In map pack, Live to Judo - North Shore Judo appears third after Judokwai and Tukaha; organic result around rank 8"
best judo classes auckland,8,3,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ","Auckland's friendliest judo club in Takapuna. Kids, teens & adult classes. Beginners welcome and free first class",tukaha.co.nz|judokwai.org|howickjudo.com,Local service,Medium,Map pack lists Live to Judo - North Shore Judo third after Tukaha and Judokwai; organic rank around 8
